Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN249","Canada","Travel","Restrictions","Prohibition on pleasure craft vessels in all Canadian waters extended","Transport Canada","February  4, 2021"
"BC272","British Columbia","Health workforce","Safety guidelines","Released new Infection Prevention and Control Protocol During In-Hospital Code Blue for Adult Patients","Ministry of Health, BC Centre for Disease Control","February  5, 2021"
"BC278","British Columbia","Health services","Visitors","Directed long-term care facilities to comply with visitors guidance and appeal and review process","Ministry of Health, BC Centre for Disease Control","February  5, 2021"
"CAN277","Canada","Health workforce","Safety guidelines","Released vaccine toolkit for health care professionals, including guidance for managing vaccination clinics and administering vaccines","Public Health Agency of Canada","February 11, 2021"
"BC273","British Columbia","Closures/openings","Daycares","Updated "The Public Health Guidance for Child Care Settings" (e.g., daily health checks for adults & children, mask use for adults revised)","BC Centre for Disease Control","February 12, 2021"
"CAN251","Canada","Vaccine","Purchasing and allocation","Announced accelerated delivery schedule for Pfizer-BioNTech: 2.8 million doses between Apr. & Jun., 6.2 million doses between Jul. & Sept.","Public Services and Procurement Canada","February 12, 2021"
"CAN258","Canada","Travel","Restrictions","Land travellers required to provide negative COVID test result from the US within 3 days/positive result within 14&90 days prior to arrival","Public Health Agency of Canada","February 15, 2021"
"CAN260","Canada","Travel","Restrictions","Travellers required to submit travel, contact information and quarantine plan via ArriveCAN before crossing border/boarding a flight","Public Health Agency of Canada","February 22, 2021"
"CAN261","Canada","Travel","Self-isolation","3-night stay at own cost in government-authorized hotel required for air travellers while awaiting results of arrival test (with exceptions)","Public Health Agency of Canada","February 22, 2021"
"BC288","British Columbia","Health workforce","Change in practice",""Regulated and Unregulated Health Professionals SARS-CoV-2 Immunization Order" issued to expand who can administer vaccinations","Ministry of Health","February 23, 2021"
"BC289","British Columbia","Health workforce","Change in practice",""Emergency Medical Assistants SARS-CoV-2 Immunization Order" issued for Emergency Medical Assistants to perform vaccinations","Ministry of Health","February 23, 2021"
"BC298","British Columbia","Case management","Other","Completion of point-prevalence assessment to understand the spread of the variants of concern","Ministry of Health","February 23, 2021"
"CAN266","Canada","Vaccine","Regulatory approval","Authorized the AstraZeneca COVID-19 vaccine for use in people 18 years of age and older","Health Canada","February 26, 2021"
"CAN267","Canada","Vaccine","Regulatory approval","Authorized the COVIDSHIELD (manufactured by Serum Institute of India) vaccine for use in people 18 years of age and older","Health Canada","February 26, 2021"
"CAN269","Canada","Vaccine","Purchasing and allocation","Announced that 2 million doses of the AstraZeneca COVID-19 vaccine have been secured","Public Services and Procurement Canada","February 26, 2021"
"BC283","British Columbia","Vaccine","Phase changes and milestones","Entered Phase 2 of the immunization plan","Ministry of Health","March  1, 2021"
"BC284","British Columbia","Vaccine","Implementation plans and frameworks","Extended period between 1st and 2nd doses of all approved COVID-19 vaccines to 4 months","BC Centre for Disease Control","March  1, 2021"
"BC300","British Columbia","Health services","Telemedicine/virtual care","Discontinued The Telehealth Practice Standard for registered nurses and nurse practitioners","BC College of Nurses and Midwives","March  1, 2021"
"CAN276","Canada","Vaccine","Implementation plans and frameworks","Approved revised recommendations to defer 2nd dose of COVID-19 vaccines","National Advisory Committee on Immunization","March  1, 2021"
"BC285","British Columbia","Case management","Education","6 regional COVID-19 rapid response teams formed to support K–12 schools and school districts","Ministry of Education","March  2, 2021"
"BC290","British Columbia","Case management","Other","Outbreak management protocol released for acute care, long-term care and seniors’ assisted living settings","Ministry of Health, BC Centre for Disease Control","March  3, 2021"
"BC291","British Columbia","Case management","Other","Outbreak management and investigation toolkit released for industrial camps, work sites and communal living","BC Centre for Disease Control","March  4, 2021"
"BC296","British Columbia","Case management","Other","Usage of point-of-care rapid testing announced as part of B.C.'s Rapid Point of Care Testing Strategy","Ministry of Health","March  4, 2021"
"CAN268","Canada","Vaccine","Regulatory approval","Authorized the Johnson & Johnson (Janssen Inc.) vaccine for use in people 18 years of age and older","Health Canada","March  5, 2021"
"BC416","British Columbia","Vaccine","Population to be vaccinated","Anyone 90+ and Indigenous peoples 65+ can book their vaccine","Ministry of Health","March  8, 2021"
"BC303","British Columbia","Vaccine","Purchasing and allocation","Received shipment of the AstraZeneca–SII COVISHIELD vaccine","Ministry of Health","March 10, 2021"
"BC306","British Columbia","Health workforce","Change in practice","Updated "Pediatric Clinical Guidance for COVID-19"; indications for testing, description of clinical features of COVID-19 in children","Ministry of Health, BC Centre for Disease Control","March 11, 2021"
"BC307","British Columbia","Health workforce","Change in practice","Updated "Antenatal Visits During the COVID-19 Pandemic"; guidance on minimum antenatal visits for low-risk patients, vaccination in pregnancy","Ministry of Health, BC Centre for Disease Control","March 11, 2021"
"BC411","British Columbia","Distancing","Gatherings","Order on gatherings and events has been amended to allow for outdoor gatherings of up to 10 people","Ministry of Health, Provincial Health Officer","March 11, 2021"
"BC418","British Columbia","Vaccine","Population to be vaccinated","Anyone 85+ can book their vaccine","Ministry of Health","March 11, 2021"
"BC301","British Columbia","Distancing","Gatherings","Outdoor social gatherings and events outside household of up to 10 people permitted","Ministry of Health","March 12, 2021"
"BC322","British Columbia","Closures/openings","Non-essential services","Authorized liquor-primary and food-primary licensees to sell/deliver liquor products with the purchase of a meal for off-site consumption","Ministry of Public Safety and Solicitor General","March 12, 2021"
"BC325","British Columbia","Vaccine","Population to be vaccinated","Announced use of the AstraZeneca–SII COVISHIELD vaccine to protect workers in high-risk industries","Ministry of Health","March 15, 2021"
"BC420","British Columbia","Vaccine","Population to be vaccinated","Anyone 84+ can book their vaccine; eligibility decreased daily by 1 year to 80 years of age on 2021-03-19","Ministry of Health","March 15, 2021"
"BC321","British Columbia","Closures/openings","Non-essential services","Announced liquor sale for onsite/off-site consumption curfew for St. Patrick's Day; 10 p.m. curfew to resume afterwards","Provincial Health Officer","March 17, 2021"
"BC328","British Columbia","Vaccine","Population to be vaccinated","Announced list of priority groups (front-line workers) to receive their 1st dose of the AstraZeneca–SII COVISHIELD in 2021-04","Ministry of Health","March 18, 2021"
"BC329","British Columbia","Health workforce","Safety guidelines","Released position statement that double masking in health care settings is not recommended","The BC Provincial Infection Prevention and Control and Workplace Health and Safety COVID-19 Task Group","March 18, 2021"
"BC336","British Columbia","Vaccine","Population to be vaccinated","Announced that people who are “extremely clinically vulnerable” as well as some seniors will be vaccinated earlier than expected in Phase 2","Ministry of Health","March 18, 2021"
"BC407","British Columbia","Vaccine","Population to be vaccinated","3rd phase of vaccination plan updated to include Indigenous peoples age 64 to 18","Ministry of Health, BC Centre for Disease Control","March 18, 2021"
"BC425","British Columbia","Vaccine","Population to be vaccinated","Anyone 79+ and Indigenous peoples 55+ can book their vaccine","Ministry of Health","March 20, 2021"
"BC422","British Columbia","Vaccine","Population to be vaccinated","Anyone 78+ can book their vaccine; eligibility decreased daily by 1 year to 74 years on 2021-03-26","Ministry of Health","March 22, 2021"
"BC340","British Columbia","Closures/openings","Non-essential services","Order on gatherings and events amended to provide a variance for outdoor worship services that can include up to 50 people and people in 50 vehicles","Ministry of Health, Provincial Health Officer","March 23, 2021"
"BC352","British Columbia","Health workforce","Change in practice","Public health order amended to expand the number of health professions who are able to administer a COVID-19 vaccine","Ministry of Health, Provincial Health Officer","March 24, 2021"
"BC362","British Columbia","Health workforce","Change in practice","New partnership with tourism and hospitality workers in mass vaccination clinics announced; see scan for details","Ministry of Health","March 24, 2021"
"CAN282","Canada","Health workforce","Supply management","Canadian Armed Forces deployed to accelerate the pace of immunization in northern Manitoba communities","Indigenous Services Canada","March 25, 2021"
"CAN284","Canada","Vaccine","Regulatory approval","Additional terms and conditions issued for the authorization of the AstraZeneca and Verity Pharmaceuticals–Serum Institute of India vaccines","Health Canada, National Advisory Committee on Immunization","March 26, 2021"
"BC343","British Columbia","Closures/openings","Recreation","Indoor low-intensity exercise classes cancelled; gyms & facilities for individual workouts & personal training can remain open if safety plan strictly followed","Ministry of Health","March 29, 2021"
"BC345","British Columbia","Closures/openings","Non-essential services","Indoor food or drink services suspended if they do not have a patio or other outside area in which to serve patrons (with conditions)","Ministry of Health","March 29, 2021"
"BC348","British Columbia","Vaccine","Implementation plans and frameworks","Use of the AstraZeneca–COVISHIELD vaccine paused for those under 55","Ministry of Health, BC Centre for Disease Control","March 29, 2021"
"BC410","British Columbia","Public information","Phase and alert level changes","3-week "circuit breaker" emergency restrictions issued as COVID-19 cases surge","Ministry of Health","March 29, 2021"
"BC412","British Columbia","Vaccine","Population to be vaccinated","Anyone 73+ and those who are clinically extremely vulnerable can book their vaccine","Ministry of Health","March 29, 2021"
"CAN286","Canada","Vaccine","Regulatory approval","Recommended immediate pause in the use of the AstraZeneca vaccine in Canada for those under 55","National Advisory Committee on Immunization","March 29, 2021"
"BC350","British Columbia","Vaccine","Implementation plans and frameworks","Infection Prevention and Control Guidance for Community Immunization Clinics published; see scan for details","Ministry of Health, BC Centre for Disease Control","March 31, 2021"
"BC361","British Columbia","Health workforce","Change in practice","Pharmacists can now administer vaccines, and community pharmacists will administer AstraZeneca vaccine to those age 55 to 65 (Lower Mainland)","Ministry of Health","March 31, 2021"
"BC342","British Columbia","Health services","Visitors","Long-term care residents allowed up to 2 visitors; visitors can visit in residents' rooms & have physical touch between visitors & residents","Ministry of Health","April  1, 2021"
"BC427","British Columbia","Vaccine","Population to be vaccinated","Anyone 72+ and Indigenous peoples 18+ can book their vaccine","Ministry of Health","April  1, 2021"
"CAN285","Canada","Case management","Self-isolation","$1.5 million to be funded for a Safe Voluntary Isolation Site for Thunder Bay and surrounding communities","Public Health Agency of Canada","April  1, 2021"
"CAN288","Canada","Case management","Other","$17.8 million to be funded for a Safe Voluntary Isolation Site for temporary foreign agri-workers in Windsor-Essex","Public Health Agency of Canada","April  1, 2021"
"BC428","British Columbia","Vaccine","Population to be vaccinated","AstraZeneca–COVISHEILD vaccine will be available to people between the ages of 55 and 65 on the Lower Mainland","Ministry of Health","April  3, 2021"
"BC353","British Columbia","Vaccine","Phase changes and milestones","B.C. entered Phase 3 of the Immunization Plan","Ministry of Health","April  5, 2021"
"BC354","British Columbia","Vaccine","Implementation plans and frameworks","Online and telephone vaccine registration and booking system “Get Vaccinated” launched, available in 12 different languages","Ministry of Health","April  6, 2021"
"BC429","British Columbia","Vaccine","Population to be vaccinated","Anyone 71+ can book their vaccine","Ministry of Health","April  6, 2021"
"BC430","British Columbia","Vaccine","Population to be vaccinated","Anyone 70+ can book their vaccine","Ministry of Health","April  7, 2021"
"BC431","British Columbia","Vaccine","Population to be vaccinated","Anyone between 55 and 65 years of age is eligible to be vaccinated with the AstraZeneca vaccine in local pharmacies throughout the province","Ministry of Health","April 10, 2021"
"BC357","British Columbia","Case management","Other","Expedited workplace closure order published; see scan for details","Provincial Health Officer, WorkSafeBC","April 12, 2021"
"BC358","British Columbia","Case management","Education","Workplace closure order expedited to allow public health to assess whether there is an overriding public interest to keep schools open where transmission has occurred","Provincial Health Officer, WorkSafeBC","April 12, 2021"
"BC432","British Columbia","Vaccine","Population to be vaccinated","Anyone 65+ can book their vaccine","Ministry of Health","April 12, 2021"
"CAN317","Canada","Case management","Other","Announced investment in StaySafe rapid screening program in Waterloo region; 3 COVID-19 rapid screening buses will provide free testing for various workplaces","Health Canada","April 12, 2021"
"BC433","British Columbia","Vaccine","Population to be vaccinated","Anyone 64+ can book their vaccine","Ministry of Health","April 14, 2021"
"CAN290","Canada","Case management","Self-isolation","$336,000 to be funded for a Safe Voluntary Isolation Site in Sault Ste. Marie, Ontario","Public Health Agency of Canada","April 15, 2021"
"CAN291","Canada","Case management","Self-isolation","$11.6 million to be funded for a Safe Voluntary Isolation site in Saskatchewan","Public Health Agency of Canada","April 16, 2021"
"BC434","British Columbia","Vaccine","Population to be vaccinated","Anyone 63+ can book their vaccine","Ministry of Health","April 18, 2021"
"BC364","British Columbia","Vaccine","Implementation plans and frameworks","Age of eligibility to receive the Oxford-AstraZeneca COVID-19 vaccine lowered from 55 to 40","Ministry of Health","April 19, 2021"
"BC370","British Columbia","Vaccine","Implementation plans and frameworks","Province shifts vaccine strategy to include 13 high-transmission communities","Ministry of Health","April 19, 2021"
"BC409","British Columbia","Vaccine","Population to be vaccinated","Those age 40+ living in a high-transmission community can book an appointment for the AstraZeneca vaccine","Ministry of Health","April 19, 2021"
"BC441","British Columbia","Health workforce","Supply management","$585 million over 3 years will be provided by the province to train and hire up to 3,000 health care support workers","Government of British Columbia","April 19, 2021"
"BC371","British Columbia","Health services","Delayed/resumed medical procedures","Scheduled non-urgent surgeries in 9 Lower Mainland hospitals will be temporarily postponed for the next 2 weeks","Ministry of Health","April 22, 2021"
"CAN297","Canada","Travel","Restrictions","Direct flights from Pakistan/India suspended; indirect flights must obtain negative test from last country travelled through","Prime Minister","April 22, 2021"
"BC367","British Columbia","Travel","Restrictions","Emergency Program Act order issued to prohibit non-essential travel between 3 regional zones in the province, using health authority boundaries; see scan","Minister of Public Safety and Solicitor General","April 23, 2021"
"BC435","British Columbia","Vaccine","Population to be vaccinated","Anyone 60+ can book their vaccine","Ministry of Health","April 23, 2021"
"CAN301","Canada","Vaccine","Purchasing and allocation","Agreement signed with Pfizer for 35 million booster doses for 2022 and 30 million in 2023; see scan for details","Prime Minister","April 23, 2021"
"CAN320","Canada","Health workforce","Supply management","Canadian Armed Forces and Canadian Red Cross deployed to augment or relieve staff within medical care facilities in Ontario","Government of Canada","April 26, 2021"
"BC369","British Columbia","Vaccine","Population to be vaccinated","Those age 30+ living in a high-transmission community can book an appointment for the AstraZeneca vaccine","Ministry of Health","April 27, 2021"
"BC394","British Columbia","Vaccine","Population to be vaccinated","Anyone age 59+ can book their vaccine","Ministry of Health","April 27, 2021"
"BC437","British Columbia","Vaccine","Population to be vaccinated","Anyone 58+ can book their vaccine","Ministry of Health","April 28, 2021"
"CAN300","Canada","Health workforce","Supply management","60 Canadian Armed Forces members deployed to testing centres in Nova Scotia to assist as cases rise","Prime Minister","April 28, 2021"
"BC377","British Columbia","Case management","Education","COVID-19 Return-to-Campus Primer released to help post-secondary institutions plan for a full return to campus in the fall","Ministry of Advanced Education and Skills Training","April 30, 2021"
"BC438","British Columbia","Vaccine","Population to be vaccinated","Anyone age 56+ can book their vaccine","Ministry of Health","April 30, 2021"
"BC378","British Columbia","Health workforce","Change in practice","Order issued that authorizes Emergency Medical Assistants in licence categories of Advanced Care Paramedic & Critical Care Paramedic to perform the screening activity (with conditions)","Provincial Health Officer","May  2, 2021"
"BC439","British Columbia","Vaccine","Population to be vaccinated","Anyone age 54+ can book their vaccine","Ministry of Health","May  2, 2021"
"CAN306","Canada","Vaccine","Regulatory approval","Recommended the Janssen COVID-19 vaccine be offered to individuals 30 and older without contraindications","National Advisory Committee on Immunization","May  3, 2021"
"BC374","British Columbia","Vaccine","Population to be vaccinated","Pregnant persons 16+ are eligible to book their vaccine","Ministry of Health","May  4, 2021"
"BC440","British Columbia","Vaccine","Population to be vaccinated","Anyone age 52+ can book their vaccine","Ministry of Health","May  4, 2021"
"CAN303","Canada","Vaccine","Regulatory approval","Authorized the use of the Pfizer-BioNTech COVID-19 vaccine in children 12 to 15","Health Canada","May  5, 2021"
"BC380","British Columbia","Vaccine","Population to be vaccinated","Anyone age 49+ can book their vaccine","Ministry of Health","May  6, 2021"
"BC451","British Columbia","Health workforce","Safety guidelines","Resumed recreational travel with travel region as a part of Step 1 of in BC's Restart plan","Ministry of Health, BC Centre for Disease Control","May  6, 2021"
"BC447","British Columbia","Public information","Pandemic response plans","Launched BC’s Restart plan: a 4-step plan for a gradual return to a more normal life","Ministry of Health","May  9, 2021"
"BC379","British Columbia","Vaccine","Population to be vaccinated","Anyone age 40+ can book their vaccine","Ministry of Health","May 10, 2021"
"BC382","British Columbia","Vaccine","Population to be vaccinated","Anyone 18+ who lives in an identified high-transmission neighbourhood can book their vaccine","Ministry of Health","May 10, 2021"
"CAN308","Canada","Health workforce","Supply management","Canadian Armed Forces & Rangers activated in Moose Cree First Nation & Neskantaga First Nation to assist with COVID-19 response efforts","Indigenous Services Canada","May 10, 2021"
"BC384","British Columbia","Vaccine","Population to be vaccinated","Anyone age 30+ can book their vaccine","Ministry of Health","May 12, 2021"
"BC395","British Columbia","Vaccine","Implementation plans and frameworks","Due to the limited supply, remaining AstraZeneca vaccines held for 2nd dose; see scan for details","Ministry of Health","May 12, 2021"
"BC398","British Columbia","Health workforce","Safety guidelines","Guidance published for acute health care settings on infection prevention and control practices to mitigate the impact of COVID-19","Ministry of Health","May 12, 2021"
"CAN323","Canada","Health workforce","Supply management","$2.3 million funded to help internationally trained nurses get certified and find jobs","Government of Canada, Employment and Social Development Canada","May 12, 2021"
"BC385","British Columbia","Vaccine","Population to be vaccinated","Anyone age 25+ can book their vaccine","Ministry of Health","May 14, 2021"
"BC386","British Columbia","Vaccine","Population to be vaccinated","Anyone age 20+ can book their vaccine","Ministry of Health","May 15, 2021"
"BC387","British Columbia","Vaccine","Population to be vaccinated","Anyone age 18+ can book their vaccine","Ministry of Health","May 16, 2021"
"BC388","British Columbia","Public information","Masks","Emergency Program Act updated to align with the public health guidance regarding mandatory mask wearing in fitness facilities","Minister of Public Safety and Solicitor General","May 18, 2021"
"BC403","British Columbia","Health workforce","Safety guidelines","Communicable Disease Control Manual updated; see scan for details","Ministry of Health","May 20, 2021"
"BC406","British Columbia","Vaccine","Population to be vaccinated","People age 12 to 17 years can register and book for their vaccine","Ministry of Health, BC Centre for Disease Control","May 20, 2021"
"CAN314","Canada","Health workforce","Supply management","Members of the Canadian Armed Forces and Canadian Red Cross deployed to Manitoba to provide relief staff within medical care facilities","Public Safety Canada","May 24, 2021"
"BC448","British Columbia","Distancing","Gatherings","Allowed 5 visitors or 1 household for indoor personal gatherings and 10 for outdoor; 50 for seated outdoor organized gatherings in Step 1","Ministry of Health","May 25, 2021"
"BC449","British Columbia","Closures/openings","Non-essential services","Entered Step 1: Indoor/outdoor dining limits increased to a party of 6","Ministry of Health","May 25, 2021"
"BC450","British Columbia","Closures/openings","Recreation","Outdoor sports and low-intensity fitness resumed with safety protocols as a part of Step 1 in BC's Restart plan","Ministry of Health, BC Centre for Disease Control","May 25, 2021"
"BC456","British Columbia","Health services","Delayed/resumed medical procedures","Announced plan to resume non-urgent scheduled surgeries in 9 Lower Mainland hospitals","Government of British Columbia","May 25, 2021"
"BC506","British Columbia","Public information","Phase and alert level changes","Entered Step 1 of BC’s Restart plan","Government of British Columbia","May 25, 2021"
"CAN329","Canada","Case management","Self-isolation","$4.2 million granted to operate safe voluntary isolation sites in N.S.","Public Health Agency of Canada","May 26, 2021"
"BC453","British Columbia","Closures/openings","Non-essential services","Launched BSAFE, a COVID-19 safety certificate program","Ministry of Tourism, Arts, Culture and Sport","May 27, 2021"
"BC454","British Columbia","Distancing","Gatherings","Allowed 50 people at indoor and outdoor religious services","Ministry of Health","May 27, 2021"
"BC455","British Columbia","Vaccine","Implementation plans and frameworks","Accelerated the interval between doses for age-based and clinically extremely vulnerable programs to 8 weeks","Ministry of Health","May 27, 2021"
"CAN332","Canada","Vaccine","Regulatory approval","Extension approved to 2 lots of the AstraZeneca vaccine expiry dates by 30 days to allow P/Ts to use up their existing inventory","Health Canada","May 29, 2021"
"CAN348","Canada","Health workforce","Supply management","Announced Canadian Red Cross support to Nunavut for contact tracing in response to a COVID-19 variant outbreak","Government of Canada","June  1, 2021"
"CAN328","Canada","Vaccine","Regulatory approval","Guidance on mixed vaccine procedures updated; those who got 1st dose of viral vector vaccine (e.g. AstraZeneca) can get 2nd dose of either viral vector or mRNA","Public Health Agency of Canada, National Advisory Committee on Immunization","June  2, 2021"
"BC457","British Columbia","Vaccine","Implementation plans and frameworks","Announced 1st-dose AstraZeneca recipients may choose to receive a 2nd dose of either AstraZeneca or an mRNA vaccine","Ministry of Health","June  3, 2021"
"BC460","British Columbia","Vaccine","Population to be vaccinated","Announced that elders, seniors, clinically extremely vulnerable and high-risk individuals will be prioritized for their 2nd vaccine dose","Ministry of Health","June  4, 2021"
"BC458","British Columbia","Vaccine","Implementation plans and frameworks","Announced that 1st-dose AstraZeneca recipients will be eligible for their 2nd doses within an 8-week period","Ministry of Health","June  7, 2021"
"BC493","British Columbia","Closures/openings","Recreation","Order published for children/youth overnight camps; must develop an approved COVID-19 safety plan before operating","Provincial Health Officer","June  7, 2021"
"CAN336","Canada","Case management","Self-isolation","Funded $731,810 to the Simcoe Muskoka District Health Unit to operate safe voluntary isolation sites in Barrie, Ont., and surrounding communities","Public Health Agency Canada","June 10, 2021"
"CAN349","Canada","Health workforce","Supply management","Announced $9.3 million to support distress centres across Canada during the pandemic, including to support recruiting and training","Government of Canada","June 11, 2021"
"BC462","British Columbia","Vaccine","Implementation plans and frameworks","Announced that individuals who received their 1st dose outside B.C. are eligible to book a 2nd dose in B.C.","Ministry of Health","June 14, 2021"
"BC465","British Columbia","Public information","Phase and alert level changes","Entered Step 2 of BC’s Restart plan","Government of British Columbia","June 15, 2021"
"BC466","British Columbia","Travel","Restrictions","Announced lifting of restrictions on non-essential travel within B.C. as part Step 2 in BC's Restart plan","Government of British Columbia","June 15, 2021"
"BC467","British Columbia","Distancing","Gatherings","Allowed indoor worship services with maximum of 50 people or 10% capacity (whichever is greater) in Step 2","Government of British Columbia","June 15, 2021"
"BC468","British Columbia","Closures/openings","Non-essential services","Step 2: liquor service at restaurants, bars and pubs extended until midnight","Government of British Columbia","June 15, 2021"
"BC469","British Columbia","Closures/openings","Recreation","Entered Step 2: indoor sports and high-intensity fitness can resume (with safety protocols)","Government of British Columbia","June 15, 2021"
"BC476","British Columbia","Distancing","Gatherings","Allowed 50 people for outdoor sports/outdoor personal gatherings/indoor seated organized gatherings (e.g., movie theatres) in Step 2","Ministry of Health","June 15, 2021"
"BC478","British Columbia","Closures/openings","Non-essential services","Guidance documents for holding worship and lifecycle services released","BC Centre for Disease Control, Ministry of Health","June 15, 2021"
"BC475","British Columbia","Public information","Masks","Updated masking guidelines in health care facilities","Ministry of Health","June 18, 2021"
"CAN338","Canada","Travel","Restrictions","Any foreign national who holds a valid COPR now allowed to travel to Canada (follow requirement checklists for entering the country)","Immigration, Refugees and Citizenship Canada","June 21, 2021"
"CAN342","Canada","Travel","Restrictions","Temporary travel restrictions for all non-US travellers extended, unless their travel is for non-discretionary reasons","Government of Canada","June 21, 2021"
"CAN343","Canada","Travel","Restrictions","Temporary travel restrictions for all US travellers extended, unless their travel is for non-discretionary reasons","Government of Canada","June 21, 2021"
"CAN350","Canada","Vaccine","Vaccination status","Released guideline for safety measures needed (e.g. masks, distancing) depending on activity, setting and vaccination status","Public Health Agency of Canada","June 25, 2021"
"BC479","British Columbia","Closures/openings","Non-essential services","Retail liquor store hours permanently extended to 7 a.m. to 11 p.m.","Government of British Columbia","June 30, 2021"
"BC489","British Columbia","Closures/openings","Non-essential services","Communicable disease in the workplace prevention guide released","WorkSafe BC","June 30, 2021"
"BC500","British Columbia","Closures/openings","Non-essential services","Order regarding food and liquor serving establishments updated authorizing medical health officers to issue additional orders","Provincial Health Officer","June 30, 2021"
"BC480","British Columbia","Public information","Phase and alert level changes","Entered Step 3 of BC’s Restart plan","Government of British Columbia","July  1, 2021"
"BC481","British Columbia","Distancing","Gatherings","No limits for indoor and outdoor personal gatherings, increased limits for indoor/outdoor organized gatherings in Step 3; details in scan","Government of British Columbia","July  1, 2021"
"BC482","British Columbia","Closures/openings","Non-essential services","Entered Step 3: liquor service at restaurants/bars can return to normal hours, with table limits and no socializing between tables; details in scan","Government of British Columbia","July  1, 2021"
"BC484","British Columbia","Closures/openings","Recreation","Entered Step 3: sports and exercise facilities can resume regular operations (with communicable disease plans)","Government of British Columbia","July  1, 2021"
"BC485","British Columbia","Public information","Masks","As part of Step 3 in BC's Restart plan, masks no longer mandatory; recommend in indoor public spaces for unvaccinated individuals age 12+","Government of British Columbia","July  1, 2021"
"BC486","British Columbia","Travel","Restrictions","As part of Step 3 in BC's Restart plan, Canada-wide recreational travel restrictions lifted","Government of British Columbia","July  1, 2021"
"BC495","British Columbia","Case management","Education","As part of Step 3 of BC's Restart plan, post-secondary institutions no longer require COVID-19 safety plan but must develop communicable disease plan","Ministry of Health","July  1, 2021"
"BC496","British Columbia","Case management","Education","Return-to-Campus Guidelines published for post-secondary institutions in preparation for Step 4 of BC's Restart plan in the fall","Ministry of Advanced Education and Skills","July  5, 2021"
"CAN339","Canada","Travel","Restrictions","Travel restrictions for fully vaccinated travellers who fall under the "eligible to enter" categories eased; travellers required to disclose vaccination status in the ArriveCAN app","Public Health Agency of Canada","July  5, 2021"
"CAN346","Canada","Travel","Self-isolation","Travel restrictions for fully vaccinated "eligible to enter" travellers eased; no longer required to quarantine or take COVID-19 test on day 8","Public Health Agency of Canada","July  5, 2021"
"CAN347","Canada","Health workforce","Supply management","Announced support by sending health and social services professionals to assist in COVID-19 efforts","Public Safety Canada, Public Health Agency of Canada, Health Canada, Indigenous Services Canada","July 10, 2021"
"BC499","British Columbia","Closures/openings","Non-essential services","Private liquor retailers permitted to resume selling to special event permit holders","Government of British Columbia","July 13, 2021"
"BC497","British Columbia","Health services","Visitors","Visitors no longer need to schedule visits and visitor limits removed; fully immunized visitors can visit without wearing a mask; details in scan","Ministry of Health","July 19, 2021"
"BC507","British Columbia","Health workforce","Safety guidelines","Announced that care providers entering LTC setting must be fully vaccinated; otherwise wear a mask at all times and be tested regularly","Provincial Health Officer","July 19, 2021"
